,Date,short-liquidations-usd
698,14 May '20,"65,360,522.57340543"
699,15 May '20,"15,706,293.652579999"
700,15 May '20,"15,706,293.652579999"
701,16 May '20,"12,294,947.49893849"
702,17 May '20,"34,734,468.92432"
703,17 May '20,"34,734,468.92432"
704,18 May '20,"16,542,062.59372827"
705,19 May '20,"14,888,425.04697"
706,19 May '20,"14,888,425.04697"
707,20 May '20,"5,898,325.28549"
708,20 May '20,"5,898,325.28549"
709,21 May '20,"9,404,385.45383"
710,22 May '20,"9,841,731.65561"
711,22 May '20,"9,841,731.65561"
712,23 May '20,"4,971,768.23360938"
713,24 May '20,"8,832,895.56206"
714,24 May '20,"8,832,895.56206"
715,25 May '20,"14,978,082.449259998"
716,25 May '20,"14,978,082.449259998"
717,26 May '20,"8,226,212.4692400005"
718,27 May '20,"53,794,927.042868204"
719,27 May '20,"53,794,927.042868204"
720,28 May '20,"59,425,432.77814733"
721,29 May '20,"4,070,894.2005000003"
722,29 May '20,"4,070,894.2005000003"
723,30 May '20,"37,609,692.38159659"
724,30 May '20,"37,609,692.38159659"
725,31 May '20,"1,628,737.12491"
726,01 Jun '20,"231,895,835.4635099"
727,01 Jun '20,"231,895,835.4635099"
728,02 Jun '20,"8,884,702.36713"
729,02 Jun '20,"8,884,702.36713"
730,03 Jun '20,"10,922,509.726090001"
731,04 Jun '20,"25,471,524.48186"
732,04 Jun '20,"25,471,524.48186"
733,05 Jun '20,"1,889,568.2938499998"
734,06 Jun '20,"6,536,488.77357"
735,06 Jun '20,"6,536,488.77357"
736,07 Jun '20,"18,371,824.112"
737,07 Jun '20,"18,371,824.112"
738,08 Jun '20,"6,545,560.496759999"
739,09 Jun '20,"11,582,388.38419025"
740,09 Jun '20,"11,582,388.38419025"
741,10 Jun '20,"30,927,109.30895"
742,11 Jun '20,"10,119,610.326799998"
743,11 Jun '20,"10,119,610.326799998"
744,12 Jun '20,"9,921,327.950839998"
745,12 Jun '20,"9,921,327.950839998"
746,13 Jun '20,"3,472,610.62695"
747,14 Jun '20,"2,923,704.65562"
748,14 Jun '20,"2,923,704.65562"
749,15 Jun '20,"31,668,241.28007"
750,16 Jun '20,"16,724,027.595558299"
751,16 Jun '20,"16,724,027.595558299"
752,17 Jun '20,"4,919,584.31800248"
753,17 Jun '20,"4,919,584.31800248"
754,18 Jun '20,"1,784,538.77041"
755,19 Jun '20,"4,992,082.355280001"
756,19 Jun '20,"4,992,082.355280001"
757,20 Jun '20,"10,437,900.821729999"
758,20 Jun '20,"10,437,900.821729999"
759,21 Jun '20,"1,394,545.9592900001"
760,22 Jun '20,"56,658,048.54214911"
761,22 Jun '20,"56,658,048.54214911"
762,23 Jun '20,"969,692.5349"
763,24 Jun '20,"2,400,053.8803999997"
764,24 Jun '20,"2,400,053.8803999997"
765,25 Jun '20,"11,311,725.09130143"
766,25 Jun '20,"11,311,725.09130143"
767,26 Jun '20,"9,552,594.143749999"
768,27 Jun '20,"11,542,756.30463"
769,27 Jun '20,"11,542,756.30463"
770,28 Jun '20,"16,809,935.36149297"
771,29 Jun '20,"9,337,110.55509"
772,29 Jun '20,"9,337,110.55509"
773,30 Jun '20,"674,410.1962799999"
774,30 Jun '20,"674,410.1962799999"
775,01 Jul '20,"13,021,311.28709"
776,02 Jul '20,"3,305,883.87763"
777,02 Jul '20,"3,305,883.87763"
778,03 Jul '20,"278,480.56262"
779,03 Jul '20,"278,480.56262"
780,04 Jul '20,"12,201,673.357859999"
781,05 Jul '20,"3,958,899.2766"
782,05 Jul '20,"3,958,899.2766"
783,06 Jul '20,"31,493,726.734279998"
784,07 Jul '20,"1,494,526.48217"
785,07 Jul '20,"1,494,526.48217"
786,08 Jul '20,"29,646,002.6164363"
787,08 Jul '20,"29,646,002.6164363"
788,09 Jul '20,"938,104.92257"
789,10 Jul '20,"14,462,266.921609228"
790,10 Jul '20,"14,462,266.921609228"
791,11 Jul '20,"392,308.94697"
792,12 Jul '20,"16,636,241.97044"
793,12 Jul '20,"16,636,241.97044"
794,13 Jul '20,"1,838,349.9707799999"
795,13 Jul '20,"1,838,349.9707799999"
796,14 Jul '20,"2,433,885.39758"
797,15 Jul '20,"373,906.49969"
798,15 Jul '20,"373,906.49969"
799,16 Jul '20,"926,788.12442"
800,17 Jul '20,"1,640,315.04027"
801,17 Jul '20,"1,640,315.04027"
802,18 Jul '20,"5,420,783.96761"
803,18 Jul '20,"5,420,783.96761"
804,19 Jul '20,"7,097,238.40145"
805,20 Jul '20,"312,105.70924"
806,20 Jul '20,"312,105.70924"
807,21 Jul '20,"53,541,097.013507806"
808,21 Jul '20,"53,541,097.013507806"
809,22 Jul '20,"44,907,429.54938"
810,23 Jul '20,"32,633,599.13797628"
811,23 Jul '20,"32,633,599.13797628"
812,24 Jul '20,"4,505,072.32076"
813,25 Jul '20,"21,292,312.278286457"
814,25 Jul '20,"21,292,312.278286457"
815,26 Jul '20,"178,915,110.6920239"
816,26 Jul '20,"178,915,110.6920239"
817,27 Jul '20,"308,943,756.25673264"
818,28 Jul '20,"29,747,326.54222"
819,28 Jul '20,"29,747,326.54222"
820,29 Jul '20,"22,580,710.59545"
821,30 Jul '20,"5,969,057.25261"
822,30 Jul '20,"5,969,057.25261"
823,31 Jul '20,"26,770,221.470810004"
824,31 Jul '20,"26,770,221.470810004"
825,01 Aug '20,"56,396,022.5938556"
826,02 Aug '20,"43,294,633.07212625"
827,02 Aug '20,"43,294,633.07212625"
828,03 Aug '20,"10,431,589.843136922"
829,04 Aug '20,"2,760,079.9122599997"
830,04 Aug '20,"2,760,079.9122599997"
831,05 Aug '20,"37,582,289.1680232"
832,05 Aug '20,"37,582,289.1680232"
833,06 Aug '20,"10,444,116.562428638"
834,07 Aug '20,"3,712,371.42497"
835,07 Aug '20,"3,712,371.42497"
836,08 Aug '20,"7,972,518.0908124"
837,08 Aug '20,"7,972,518.0908124"
838,09 Aug '20,"2,177,993.79427742"
839,10 Aug '20,"38,944,447.039400004"
840,10 Aug '20,"38,944,447.039400004"
841,11 Aug '20,"10,414,065.781369999"
842,12 Aug '20,"8,890,251.59374"
843,12 Aug '20,"8,890,251.59374"
844,13 Aug '20,"24,449,167.7131076"
845,13 Aug '20,"24,449,167.7131076"
846,14 Aug '20,"5,730,657.363910001"
847,15 Aug '20,"16,846,247.04808"
848,15 Aug '20,"16,846,247.04808"
849,16 Aug '20,"4,765,295.942139999"
850,17 Aug '20,"98,930,249.07233"
851,17 Aug '20,"98,930,249.07233"
852,18 Aug '20,"3,051,618.3331199996"
853,18 Aug '20,"3,051,618.3331199996"
854,19 Aug '20,"3,968,522.61624"
855,20 Aug '20,"4,525,193.64914"
856,20 Aug '20,"4,525,193.64914"
857,21 Aug '20,"2,027,790.3610999999"
858,22 Aug '20,"5,389,988.151880001"
859,22 Aug '20,"5,389,988.151880001"
860,23 Aug '20,"4,287,912.574949999"
861,23 Aug '20,"4,287,912.574949999"
862,24 Aug '20,"5,097,620.251929999"
863,25 Aug '20,"5,652,588.09735"
864,25 Aug '20,"5,652,588.09735"
865,26 Aug '20,"16,206,436.299549999"
866,26 Aug '20,"16,206,436.299549999"
867,27 Aug '20,"11,198,748.62473"
868,28 Aug '20,"7,686,228.8152600005"
869,28 Aug '20,"7,686,228.8152600005"
870,29 Aug '20,"3,012,930.6393"
871,30 Aug '20,"18,391,231.66996"
872,30 Aug '20,"18,391,231.66996"
873,31 Aug '20,"13,732,834.54247"
874,31 Aug '20,"13,732,834.54247"
875,01 Sep '20,"26,883,522.75899"
876,02 Sep '20,"4,554,724.7154511195"
877,02 Sep '20,"4,554,724.7154511195"
878,03 Sep '20,"16,875,994.175339997"
879,04 Sep '20,"25,930,798.64024"
880,04 Sep '20,"25,930,798.64024"
881,05 Sep '20,"20,154,960.7138"
882,05 Sep '20,"20,154,960.7138"
883,06 Sep '20,"7,313,678.47787633"
884,07 Sep '20,"21,479,639.348922033"
885,07 Sep '20,"21,479,639.348922033"
886,08 Sep '20,"14,154,427.926840002"
887,08 Sep '20,"14,154,427.926840002"
888,09 Dec '19,"15,689,251.55436682"
889,09 Dec '19,"15,689,251.55436682"
