,Date,short-liquidations-usd
185,01 Jul '19,"27,256,915"
186,02 Jul '19,"67,808,749"
187,02 Jul '19,"67,808,749"
188,03 Jul '19,"86,369,596"
189,03 Jul '19,"86,369,596"
190,04 Jul '19,"15,266,881"
191,05 Jul '19,"21,900,771"
192,05 Jul '19,"21,900,771"
193,06 Jul '19,"32,194,610"
194,07 Jul '19,"33,127,314"
195,07 Jul '19,"33,127,314"
196,08 Jul '19,"87,126,157"
197,08 Jul '19,"87,126,157"
198,09 Jul '19,"50,700,612"
199,10 Jul '19,"50,423,929"
200,10 Jul '19,"50,423,929"
201,11 Jul '19,"22,065,340"
202,11 Jul '19,"22,065,340"
203,12 Jul '19,"53,285,110"
204,13 Jul '19,"23,257,541"
205,13 Jul '19,"23,257,541"
206,14 Jul '19,"11,457,928"
207,15 Jul '19,"42,140,117"
208,15 Jul '19,"42,140,117"
209,16 Jul '19,"16,811,861"
210,16 Jul '19,"16,811,861"
211,17 Jul '19,"25,308,203"
212,18 Jul '19,"92,161,197"
213,18 Jul '19,"92,161,197"
214,19 Jul '19,"16,650,908"
215,20 Jul '19,"43,109,799"
216,20 Jul '19,"43,109,799"
217,21 Jul '19,"4,959,034"
218,21 Jul '19,"4,959,034"
219,22 Jul '19,"7,897,826"
220,23 Jul '19,"13,018,808"
221,23 Jul '19,"13,018,808"
222,24 Jul '19,"12,882,882"
223,25 Jul '19,"37,538,486"
224,25 Jul '19,"37,538,486"
225,26 Jul '19,"5,377,880"
226,26 Jul '19,"5,377,880"
227,27 Jul '19,"43,849,219"
228,28 Jul '19,"21,420,919"
229,28 Jul '19,"21,420,919"
230,29 Jul '19,"11,414,606"
231,29 Jul '19,"11,414,606"
232,30 Jul '19,"23,558,717"
233,31 Jul '19,"41,279,961"
234,31 Jul '19,"41,279,961"
235,01 Aug '19,"60,144,407"
236,02 Aug '19,"17,297,793"
237,02 Aug '19,"17,297,793"
238,03 Aug '19,"30,896,955"
239,03 Aug '19,"30,896,955"
240,04 Aug '19,"33,685,626.365425006"
241,05 Aug '19,"105,637,900.336925"
242,05 Aug '19,"105,637,900.336925"
243,06 Aug '19,"68,298,865.410675"
244,07 Aug '19,"45,176,936.182375"
245,07 Aug '19,"45,176,936.182375"
246,08 Aug '19,"16,697,878.89865"
247,08 Aug '19,"16,697,878.89865"
248,09 Aug '19,"9,518,435"
249,10 Aug '19,"8,123,874"
250,10 Aug '19,"8,123,874"
251,11 Aug '19,"15,272,021.112625"
252,12 Aug '19,"1,223,886"
253,12 Aug '19,"1,223,886"
254,13 Aug '19,"1,088,276.872125"
255,13 Aug '19,"1,088,276.872125"
256,14 Aug '19,"8,413,306"
257,15 Aug '19,"49,464,927.9316"
258,15 Aug '19,"49,464,927.9316"
259,16 Aug '19,"38,821,459.06095"
260,16 Aug '19,"38,821,459.06095"
261,17 Aug '19,"4,137,674.459525"
262,18 Aug '19,"8,677,269.806825"
263,18 Aug '19,"8,677,269.806825"
264,19 Aug '19,"46,688,261.58215"
265,20 Aug '19,"5,235,718.177375"
266,20 Aug '19,"5,235,718.177375"
267,21 Aug '19,"5,771,797.9328"
268,21 Aug '19,"5,771,797.9328"
269,22 Aug '19,"17,787,856.24615"
270,23 Aug '19,"24,191,917.90635"
271,23 Aug '19,"24,191,917.90635"
272,24 Aug '19,"5,219,405.4372"
273,25 Aug '19,"22,961,343"
274,25 Aug '19,"22,961,343"
275,26 Aug '19,"51,812,593.897575"
276,26 Aug '19,"51,812,593.897575"
277,27 Aug '19,"2,602,735"
278,28 Aug '19,"10,487,102.49255"
279,28 Aug '19,"10,487,102.49255"
280,29 Aug '19,"5,628,400"
281,30 Aug '19,"8,280,827.042175"
282,30 Aug '19,"8,280,827.042175"
283,31 Aug '19,"4,366,554.473075"
284,31 Aug '19,"4,366,554.473075"
