,Date,long-liquidations-usd,Unnamed: 2,Unnamed: 3,Unnamed: 4
154,2019-08-14,147374255.2,,,
155,2019-08-15,80729195.37,,,
156,2019-08-16,48199028.8,,,
157,2019-08-17,35240762.55,,,
158,2019-08-18,3462569.524,,,
159,2019-08-19,10199480.25,,,
160,2019-08-20,13801841.74,,,
161,2019-08-21,122946785.4,,,
162,2019-08-22,21197454.28,,,
163,2019-08-23,6897751.195,,,
164,2019-08-24,71756914.0,,,
165,2019-08-25,26105337.26,,,
166,2019-08-26,17411158.18,,,
167,2019-08-27,18494257.64,,,
168,2019-08-28,158809137.1,,,
169,2019-08-29,52458661.51,,,
170,2019-08-30,8845176.073,,,
171,2019-08-31,9056445.113,,,
172,2019-09-01,2354125.0,,,
173,2019-09-02,1260866.0,,,
174,2019-09-03,19398204.62,,,
175,2019-09-04,22497532.75,,,
176,2019-09-05,10077157.95,,,
177,2019-09-06,103283082.5,,,
178,2019-09-07,1911151.378,,,
179,2019-09-08,30742978.78,,,
180,2019-09-09,37309781.29,,,
181,2019-09-10,85684526.96,,,
182,2019-09-11,18985037.23,,,
183,2019-09-12,3020901.0,,,
184,2019-09-13,13612530.54,,,
185,2019-09-14,2578020.0,,,
186,2019-09-15,1524708.967,,,
187,2019-09-16,48882933.94,,,
188,2019-09-17,5420522.0,,,
189,2019-09-18,10638613.9,,,
190,2019-09-19,169162054.6,,,
191,2019-09-20,8902132.527,,,
192,2019-09-21,23753619.44,,,
193,2019-09-22,16694010.34,,,
194,2019-09-23,81047295.99,,,
195,2019-09-24,664984246.9,,,
196,2019-09-25,27672030.48,,,
197,2019-09-26,106638963.0,,,
198,2019-09-27,10122326.16,,,
199,2019-09-28,13073552.34,,,
200,2019-09-29,14757968.82,,,
201,2019-09-30,30756734.84,,,
202,2019-10-01,10848527.87,,,
203,2019-10-02,9790727.42,,,
204,2019-10-03,24716645.29,,,
205,2019-10-04,10201937.19,,,
206,2019-10-05,6385826.746,,,
207,2019-10-06,50356845.62,,,
208,2019-10-07,3699071.81,,,
209,2019-10-08,7334222.38,,,
210,2019-10-09,4638300.539,,,
211,2019-10-10,1332498.177,,,
212,2019-10-11,56904425.12,,,
213,2019-10-12,1339861.139,,,
214,2019-10-13,30075459.82,,,
215,2019-10-14,4884474.283,,,
216,2019-10-15,29574009.47,,,
217,2019-10-16,39256659.7,,,
218,2019-10-17,4599168.648,,,
219,2019-10-18,34770692.87,,,
220,2019-10-19,10497047.9,,,
221,2019-10-20,853310.8432,,,
222,2019-10-21,3723405.996,,,
223,2019-10-22,32267812.73,,,
224,2019-10-23,255803674.9,,,
225,2019-10-24,2552272.375,,,
226,2019-10-25,12088762.24,,,
227,2019-10-26,90005566.93,,,
228,2019-10-27,29122642.54,,,
229,2019-10-28,39061864.55,,,
230,2019-10-29,32011390.53,,,
231,2019-10-30,30755346.74,,,
232,2019-10-31,31902608.19,,,
233,2019-11-01,11131153.67,,,
234,2019-11-02,587740.8333,,,
235,2019-11-03,18616046.31,,,
236,2019-11-04,2263617.369,,,
237,2019-11-05,20155495.63,,,
238,2019-11-06,3698411.923,,,
239,2019-11-07,27353782.41,,,
240,2019-11-08,92862858.43,,,
241,2019-11-09,5041933.651,,,
242,2019-11-10,2220414.859,,,
243,2019-11-11,58546298.36,,,
244,2019-11-12,39059609.82,,,
245,2019-11-13,537923.8179,,,
246,2019-11-14,12294717.91,,,
247,2019-11-15,76691220.72,,,
248,2019-11-16,1269966.65,,,
249,2019-11-17,8059071.4,,,
250,2019-11-18,105580932.5,,,
251,2019-11-19,21941282.66,,,
252,2019-11-20,4030020.996,,,
253,2019-11-21,223456348.9,,,
254,2019-11-22,193671643.4,,,
255,2019-11-23,4198398.907,,,
256,2019-11-24,38690851.51,,,
257,2019-11-25,72387628.28,,,
258,2019-11-26,11635503.21,,,
259,2019-11-27,19493174.91,,,
260,2019-11-28,16087729.27,,,
261,2019-11-29,6712992.933,,,
262,2019-11-30,17825979.0,,,
263,2019-12-01,24692067.91,,,
264,2019-12-02,10532538.3,,,
265,2019-12-03,1356870.07,,,
266,2019-12-04,52959930.73,,,
267,2019-12-05,6595800.151,,,
268,2019-12-06,6405777.155,,,
269,2019-12-07,1711643.49,,,
270,2019-12-08,9099089.019,,,
271,2019-12-09,36511728.4,,,
272,2019-12-10,26886379.41,,,
273,2019-12-11,10650877.69,,,
274,2019-12-12,11766024.28,,,
275,2019-12-13,816821.5143,,,
276,2019-12-14,37831781.6,,,
277,2019-12-15,4610672.278,,,
278,2019-12-16,61293220.51,,,
279,2019-12-17,97256055.41,,,
280,2019-12-18,51229237.42,,,
281,2019-12-19,13909705.01,,,
282,2019-12-20,2428431.462,,,
283,2019-12-21,1423572.697,,,
284,2019-12-22,1939557.449,,,
285,2019-12-23,49643170.59,,,
286,2019-12-24,24369168.89,,,
287,2019-12-25,52577315.7,,,
288,2019-12-26,14022875.56,,,
289,2019-12-27,18475925.55,,,
290,2019-12-28,1628534.336,,,
291,2019-12-29,4508500.2,,,
292,2019-12-30,14237347.65,,,
293,2019-12-31,18243501.85,,,
294,2020-01-01,1818998.083,,,
295,2020-01-02,61861288.44,,,
296,2020-01-03,17162460.04,,,
297,2020-01-04,3409894.243,,,
298,2020-01-05,13801847.15,,,
299,2020-01-06,3308002.886,,,
300,2020-01-07,27302984.91,,,
301,2020-01-08,60038631.96,,,
302,2020-01-09,31501347.64,,,
303,2020-01-10,17792243.98,,,
304,2020-01-11,14727508.45,,,
305,2020-01-12,6598590.701,,,
306,2020-01-13,2454013.016,,,
307,2020-01-14,17834612.49,,,
308,2020-01-15,24563650.12,,,
309,2020-01-16,11166746.54,,,
310,2020-01-17,17503270.92,,,
311,2020-01-18,5624755.811,,,
312,2020-01-19,177263985.1,,,
313,2020-01-20,9894570.165,,,
314,2020-01-21,25771380.65,,,
315,2020-01-22,13823150.71,,,
316,2020-01-23,54117423.52,,,
317,2020-01-24,15174506.02,,,
318,2020-01-25,12673287.78,,,
319,2020-01-26,1101166.763,,,
320,2020-01-27,3681208.887,,,
321,2020-01-28,28337974.31,,,
322,2020-01-29,12165749.46,,,
323,2020-01-30,32756336.37,,,
324,2020-01-31,21746352.11,,,
325,2020-02-01,3363585.93,,,
326,2020-02-02,29250713.8,,,
327,2020-02-03,33488532.04,,,
328,2020-02-04,27121048.94,,,
329,2020-02-05,3647417.313,,,
330,2020-02-06,19172390.35,,,
331,2020-02-07,8992992.292,,,
332,2020-02-08,7533700.4,,,
333,2020-02-09,5379305.499,,,
334,2020-02-10,96713757.3,,,
335,2020-02-11,14734450.98,,,
336,2020-02-12,9799847.299,,,
337,2020-02-13,78901245.32,,,
338,2020-02-14,5433039.752,,,
339,2020-02-15,162616693.4,,,
340,2020-02-16,42860500.69,,,
341,2020-02-17,50336029.15,,,
342,2020-02-18,12864923.12,,,
343,2020-02-19,186141653.5,,,
344,2020-02-20,34891717.96,,,
345,2020-02-21,13663698.41,,,
346,2020-02-22,3236320.905,,,
347,2020-02-23,2463418.051,,,
348,2020-02-24,65017756.62,,,
349,2020-02-25,78821685.55,,,
350,2020-02-26,232951301.1,,,
351,2020-02-27,53382363.69,,,
352,2020-02-28,41732399.41,,,
353,2020-02-29,11655887.32,,,
354,2020-03-01,27508334.24,,,
355,2020-03-02,3767204.879,,,
356,2020-03-03,23089341.24,,,
357,2020-03-04,6510182.652,,,
358,2020-03-05,3235333.01,,,
359,2020-03-06,4245837.106,,,
360,2020-03-07,35755925.05,,,
361,2020-03-08,255927505.6,,,
362,2020-03-09,98177009.8,,,
363,2020-03-10,48803204.26,,,
364,2020-03-11,19933217.05,,,
365,2020-03-12,1015774313.0,,,
366,2020-03-13,903195362.8,,,
367,2020-03-14,74055808.87,,,
368,2020-03-15,28704478.2,,,
369,2020-03-16,161320282.3,,,
370,2020-03-17,19570485.3,,,
371,2020-03-18,28429985.47,,,
372,2020-03-19,25750085.28,,,
373,2020-03-20,105751335.2,,,
374,2020-03-21,31447761.29,,,
375,2020-03-22,42424214.76,,,
376,2020-03-23,18635770.86,,,
377,2020-03-24,26049036.33,,,
378,2020-03-25,27282040.4,,,
379,2020-03-26,10047436.58,,,
380,2020-03-27,38555904.16,,,
381,2020-03-28,32191202.16,,,
382,2020-03-29,25494268.23,,,
383,2020-03-30,10052384.23,,,
384,2020-03-31,8291531.702,,,
385,2020-04-01,24167744.23,,,
386,2020-04-02,33052328.39,,,
387,2020-04-03,36944623.18,,,
388,2020-04-04,16086311.32,,,
389,2020-04-05,12571322.57,,,
390,2020-04-06,9928681.942,,,
391,2020-04-07,36868891.39,,,
392,2020-04-08,12280179.23,,,
393,2020-04-09,18684201.87,,,
394,2020-04-10,60332693.49,,,
395,2020-04-11,6918025.428,,,
396,2020-04-12,20206796.06,,,
397,2020-04-13,45850026.41,,,
398,2020-04-14,9169674.571,,,
399,2020-04-15,31302131.64,,,
400,2020-04-16,31611715.11,,,
401,2020-04-17,8437414.963,,,
402,2020-04-18,3368409.307,,,
403,2020-04-19,24302873.0,,,
404,2020-04-20,76715446.96,,,
405,2020-04-21,6643620.521,,,
406,2020-04-22,1036937.472,,,
407,2020-04-23,19796442.86,,,
408,2020-04-24,13357985.44,,,
409,2020-04-25,5301327.082,,,
410,2020-04-26,15553665.0,,,
411,2020-04-27,6332279.172,,,
412,2020-04-28,3313510.244,,,
413,2020-04-29,36579825.61,,,
414,2020-04-30,136107366.6,,,
415,2020-05-01,26142131.41,,,
416,2020-05-02,8748904.778,,,
417,2020-05-03,51365261.8,,,
418,2020-05-04,41026444.41,,,
419,2020-05-05,19936208.05,,,
420,2020-05-06,20489646.19,,,
421,2020-05-07,23642544.12,,,
422,2020-05-08,52130236.12,,,
423,2020-05-09,47549126.15,,,
424,2020-05-10,365590665.2,,,
425,2020-05-11,91296147.9,,,
426,2020-05-12,17376709.77,,,
427,2020-05-13,5468219.422,,,
428,2020-05-14,35179621.75,,,
429,2020-05-15,106582963.1,,,
430,2020-05-16,16033149.29,,,
431,2020-05-17,13154497.57,,,
432,2020-05-18,47054115.64,,,
433,2020-05-19,32912377.07,,,
434,2020-05-20,77924673.01,,,
435,2020-05-21,115138756.7,,,
436,2020-05-22,9657286.459,,,
437,2020-05-23,7976242.09,,,
438,2020-05-24,68002019.06,,,
439,2020-05-25,19794903.84,,,
440,2020-05-26,14642101.37,,,
441,2020-05-27,8071614.357,,,
442,2020-05-28,3962626.627,,,
443,2020-05-29,20004527.67,,,
444,2020-05-30,10332037.16,,,
445,2020-05-31,19153838.95,,,
446,2020-06-01,4177007.666,,,
447,2020-06-02,193931173.8,,,
448,2020-06-03,12414230.43,,,
449,2020-06-04,20817694.16,,,
450,2020-06-05,29405427.44,,,
451,2020-06-06,13543784.85,,,
452,2020-06-07,36046056.1,,,
453,2020-06-08,5584699.407,,,
454,2020-06-09,22810647.73,,,
455,2020-06-10,7619042.184,,,
456,2020-06-11,153835164.0,,,
457,2020-06-12,8310565.037,,,
458,2020-06-13,2871375.936,,,
459,2020-06-14,16830908.27,,,
460,2020-06-15,63803407.93,,,
461,2020-06-16,8647033.923,,,
462,2020-06-17,21099572.81,,,
463,2020-06-18,7269297.201,,,
464,2020-06-19,9262558.62,,,
465,2020-06-20,24836211.8,,,
466,2020-06-21,2390660.657,,,
467,2020-06-22,1919702.265,,,
468,2020-06-23,4045064.687,,,
469,2020-06-24,73471461.17,,,
470,2020-06-25,43673352.77,,,
471,2020-06-26,23240586.06,,,
472,2020-06-27,82616617.97,,,
473,2020-06-28,2559457.268,,,
474,2020-06-29,3987080.243,,,
475,2020-06-30,8247815.029,,,
476,2020-07-01,1975547.316,,,
477,2020-07-02,68026008.87,,,
478,2020-07-03,2609324.215,,,
479,2020-07-04,805696.7041,,,
480,2020-07-05,32167218.98,,,
481,2020-07-06,1281903.842,,,
482,2020-07-07,6144339.653,,,
483,2020-07-08,848984.7365,,,
484,2020-07-09,44566292.33,,,
485,2020-07-10,14439535.62,,,
486,2020-07-11,3031428.031,,,
487,2020-07-12,6300489.594,,,
488,2020-07-13,5621658.96,,,
489,2020-07-14,15217839.15,,,
490,2020-07-15,3716239.62,,,
491,2020-07-16,27126676.35,,,
492,2020-07-17,126821.6551,,,
493,2020-07-18,500071.0614,,,
494,2020-07-19,2088244.778,,,
495,2020-07-20,2244144.975,,,
496,2020-07-21,1547809.122,,,
497,2020-07-22,7309292.345,,,
498,2020-07-23,4431485.605,,,
499,2020-07-24,8566125.895,,,
500,2020-07-25,295496.7055,,,
501,2020-07-26,15267823.57,,,
502,2020-07-27,74811884.84,,,
503,2020-07-28,74983261.48,,,
504,2020-07-29,31258585.39,,,
505,2020-07-30,32069929.78,,,
506,2020-07-31,12874762.33,,,
507,2020-08-01,26380012.82,,,
508,2020-08-02,440228019.0,,,
509,2020-08-03,28070661.28,,,
510,2020-08-04,25211793.48,,,
511,2020-08-05,18387033.14,,,
512,2020-08-06,25758029.32,,,
513,2020-08-07,84823485.76,,,
514,2020-08-08,7652670.694,,,
515,2020-08-09,13190373.19,,,
516,2020-08-10,78867689.51,,,
517,2020-08-11,132382105.4,,,
518,2020-08-12,13266455.28,,,
519,2020-08-13,17372868.03,,,
520,2020-08-14,4553847.305,,,
521,2020-08-15,23998961.36,,,
522,2020-08-16,6225092.662,,,
523,2020-08-17,18573987.91,,,
524,2020-08-18,83037017.98,,,
525,2020-08-19,75124066.3,,,
526,2020-08-20,1883561.784,,,
527,2020-08-21,39088054.66,,,
528,2020-08-22,18015462.18,,,
529,2020-08-23,2564006.183,,,
530,2020-08-24,1476812.37,,,
531,2020-08-25,110502614.6,,,
532,2020-08-26,8148330.002,,,
533,2020-08-27,34066887.7,,,
534,2020-08-28,562046.7044,,,
535,2020-08-29,3254557.639,,,
536,2020-08-30,1068605.171,,,
537,2020-08-31,5150600.525,,,
538,2020-09-01,17244772.03,,,
539,2020-09-02,159893388.5,,,
540,2020-09-03,415686320.2,,,
541,2020-09-04,55436361.91,,,
542,2020-09-05,85014405.1,,,
543,2020-09-06,4790594.635,,,
544,2020-09-07,19595899.93,,,
545,2020-09-08,30771695.95,,,
546,2020-09-09,2639559.506,,,
547,2020-09-10,7709613.244,,,
548,2020-09-11,2836347.712,,,
549,2020-09-12,1187950.533,,,
550,2020-09-13,19682599.18,,,
551,2020-09-14,2152985.612,,,
552,2020-09-15,11192826.76,,,
553,2020-09-16,6542453.85,,,
554,2020-09-17,11482210.91,,,
555,2020-09-18,6096588.192,,,
556,2020-09-19,1410744.931,,,
557,2020-09-20,22568409.43,,,
558,2020-09-21,70430197.53,,,
559,2020-09-22,3077804.911,,,
560,2020-09-23,35838103.58,,,
561,2020-09-24,1190403.161,,,
562,2020-09-25,4025421.97,,,
563,2020-09-26,1427396.205,,,
564,2020-09-27,6890089.293,,,
565,2020-09-28,19337867.19,,,
566,2020-09-29,2893717.86,,,
567,2020-09-30,2756715.337,,,
568,2020-10-01,34746367.52,,,
569,2020-10-02,15105404.91,,,
570,2020-10-03,702759.7356,,,
571,2020-10-04,161609.9011,,,
572,2020-10-05,1111488.353,,,
573,2020-10-06,15147270.72,,,
574,2020-10-07,302977.5426,,,
575,2020-10-08,3483458.848,,,
576,2020-10-09,1321326.971,,,
577,2020-10-10,9334862.692,,,
578,2020-10-11,6630016.607,,,
579,2020-10-12,26633347.22,,,
580,2020-10-13,17921162.93,,,
581,2020-10-14,8776610.387,,,
582,2020-10-15,5852691.471,,,
583,2020-10-16,23010135.78,,,
584,2020-10-17,1957738.07,,,
585,2020-10-18,89528.66035,,,
586,2020-10-19,1956556.155,,,
587,2020-10-20,7842035.122,,,
588,2020-10-21,44479685.79,,,
589,2020-10-22,21593612.25,,,
590,2020-10-23,25403868.68,,,
591,2020-10-24,4185741.315,,,
592,2020-10-25,35251231.4,,,
593,2020-10-26,42185299.35,,,
594,2020-10-27,8405818.074,,,
595,2020-10-28,88157048.86,,,
596,2020-10-29,17652259.71,,,
597,2020-10-30,19742623.41,,,
598,2020-10-31,26456366.68,,,
599,2020-11-01,11406372.63,,,
600,2020-11-02,50746776.64,,,
601,2020-11-03,16212384.08,,,
602,2020-11-04,32148876.44,,,
603,2020-11-05,41565591.13,,,
604,2020-11-06,61791554.09,,,
605,2020-11-07,123156018.3,,,
606,2020-11-08,8225698.881,,,
607,2020-11-09,43552649.19,,,
608,2020-11-10,8948885.056,,,
609,2020-11-11,11677175.87,,,
610,2020-11-12,42634930.55,,,
611,2020-11-13,18564442.01,,,
612,2020-11-14,37198358.21,,,
613,2020-11-15,9157863.615,,,
614,2020-11-16,9691818.618,,,
615,2020-11-17,20986875.64,,,
616,2020-11-18,149432562.2,,,
617,2020-11-19,27853380.32,,,
618,2020-11-20,15087629.94,,,
619,2020-11-21,32024886.11,,,
620,2020-11-22,73072504.64,,,
621,2020-11-23,35371702.53,,,
622,2020-11-24,45189839.06,,,
623,2020-11-25,77387819.32,,,
624,2020-11-26,596836065.0,,,
625,2020-11-27,37540315.88,,,
626,2020-11-28,13684227.3,,,
